LinksNoQuotes,Country,Region,State,Date,Type_Subset,FileType
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/visualisations/reviews.csv,australia,vic,melbourne,42279,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/calendar.csv.gz,australia,vic,melbourne,42341,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/listings.csv.gz,australia,vic,melbourne,42341,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/reviews.csv.gz,australia,vic,melbourne,42341,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/listings.csv,australia,vic,melbourne,42341,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/neighbourhoods.csv,australia,vic,melbourne,42341,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42341,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/reviews.csv,australia,vic,melbourne,42341,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/calendar.csv.gz,australia,vic,melbourne,42372,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/listings.csv.gz,australia,vic,melbourne,42372,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/reviews.csv.gz,australia,vic,melbourne,42372,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/listings.csv,australia,vic,melbourne,42372,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/neighbourhoods.csv,australia,vic,melbourne,42372,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42372,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/reviews.csv,australia,vic,melbourne,42372,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/data/calendar.csv.gz,australia,vic,melbourne,42617,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/data/listings.csv.gz,australia,vic,melbourne,42617,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/data/reviews.csv.gz,australia,vic,melbourne,42617,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/visualisations/listings.csv,australia,vic,melbourne,42617,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/visualisations/neighbourhoods.csv,australia,vic,melbourne,42617,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42617,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2016-09-04/visualisations/reviews.csv,australia,vic,melbourne,42617,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/data/calendar.csv.gz,australia,vic,melbourne,42709,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/data/listings.csv.gz,australia,vic,melbourne,42709,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/data/reviews.csv.gz,australia,vic,melbourne,42709,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/visualisations/listings.csv,australia,vic,melbourne,42709,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/visualisations/neighbourhoods.csv,australia,vic,melbourne,42709,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42709,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2016-12-05/visualisations/reviews.csv,australia,vic,melbourne,42709,visualisations,reviews.csv
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/data/calendar.csv.gz,austria,vienna,vienna,42203,data,calendar.csv.gz
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/data/listings.csv.gz,austria,vienna,vienna,42203,data,listings.csv.gz
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/data/reviews.csv.gz,austria,vienna,vienna,42203,data,reviews.csv.gz
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/visualisations/listings.csv,austria,vienna,vienna,42203,visualisations,listings.csv
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/visualisations/neighbourhoods.csv,austria,vienna,vienna,42203,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/visualisations/neighbourhoods.geojson,austria,vienna,vienna,42203,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/austria/vienna/vienna/2015-07-18/visualisations/reviews.csv,austria,vienna,vienna,42203,visualisations,reviews.csv
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/data/calendar.csv.gz,belgium,bru,brussels,42280,data,calendar.csv.gz
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/data/listings.csv.gz,belgium,bru,brussels,42280,data,listings.csv.gz
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/data/reviews.csv.gz,belgium,bru,brussels,42280,data,reviews.csv.gz
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/visualisations/listings.csv,belgium,bru,brussels,42280,visualisations,listings.csv
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/visualisations/neighbourhoods.csv,belgium,bru,brussels,42280,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/visualisations/neighbourhoods.geojson,belgium,bru,brussels,42280,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/belgium/bru/brussels/2015-10-03/visualisations/reviews.csv,belgium,bru,brussels,42280,visualisations,reviews.csv
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/data/calendar.csv.gz,belgium,vlg,antwerp,42280,data,calendar.csv.gz
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/data/listings.csv.gz,belgium,vlg,antwerp,42280,data,listings.csv.gz
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/data/reviews.csv.gz,belgium,vlg,antwerp,42280,data,reviews.csv.gz
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/visualisations/listings.csv,belgium,vlg,antwerp,42280,visualisations,listings.csv
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/visualisations/neighbourhoods.csv,belgium,vlg,antwerp,42280,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/belgium/vlg/antwerp/2015-10-03/visualisations/reviews.csv,belgium,vlg,antwerp,42280,visualisations,reviews.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/data/calendar.csv.gz,canada,bc,vancouver,42315,data,calendar.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/data/listings.csv.gz,canada,bc,vancouver,42315,data,listings.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/data/reviews.csv.gz,canada,bc,vancouver,42315,data,reviews.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/visualisations/listings.csv,canada,bc,vancouver,42315,visualisations,listings.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/visualisations/neighbourhoods.csv,canada,bc,vancouver,42315,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/visualisations/neighbourhoods.geojson,canada,bc,vancouver,42315,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/bc/vancouver/2015-11-07/visualisations/reviews.csv,canada,bc,vancouver,42315,visualisations,reviews.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/data/calendar.csv.gz,canada,bc,vancouver,42341,data,calendar.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/data/listings.csv.gz,canada,bc,vancouver,42341,data,listings.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/data/reviews.csv.gz,canada,bc,vancouver,42341,data,reviews.csv.gz
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/visualisations/listings.csv,canada,bc,vancouver,42341,visualisations,listings.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/visualisations/neighbourhoods.csv,canada,bc,vancouver,42341,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/visualisations/neighbourhoods.geojson,canada,bc,vancouver,42341,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/bc/vancouver/2015-12-03/visualisations/reviews.csv,canada,bc,vancouver,42341,visualisations,reviews.csv
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/data/calendar.csv.gz,canada,bc,victoria,42583,data,calendar.csv.gz
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/data/listings.csv.gz,canada,bc,victoria,42583,data,listings.csv.gz
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/data/reviews.csv.gz,canada,bc,victoria,42583,data,reviews.csv.gz
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/visualisations/listings.csv,canada,bc,victoria,42583,visualisations,listings.csv
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/visualisations/neighbourhoods.csv,canada,bc,victoria,42583,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/visualisations/neighbourhoods.geojson,canada,bc,victoria,42583,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/bc/victoria/2016-08-01/visualisations/reviews.csv,canada,bc,victoria,42583,visualisations,reviews.csv
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/data/calendar.csv.gz,canada,on,toronto,42162,data,calendar.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/data/listings.csv.gz,canada,on,toronto,42162,data,listings.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/data/reviews.csv.gz,canada,on,toronto,42162,data,reviews.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/visualisations/listings.csv,canada,on,toronto,42162,visualisations,listings.csv
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/visualisations/neighbourhoods.csv,canada,on,toronto,42162,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/visualisations/neighbourhoods.geojson,canada,on,toronto,42162,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/on/toronto/2015-06-07/visualisations/reviews.csv,canada,on,toronto,42162,visualisations,reviews.csv
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/data/calendar.csv.gz,canada,on,toronto,42250,data,calendar.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/data/listings.csv.gz,canada,on,toronto,42250,data,listings.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/data/reviews.csv.gz,canada,on,toronto,42250,data,reviews.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/visualisations/listings.csv,canada,on,toronto,42250,visualisations,listings.csv
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/visualisations/neighbourhoods.csv,canada,on,toronto,42250,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/visualisations/neighbourhoods.geojson,canada,on,toronto,42250,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/on/toronto/2015-09-03/visualisations/reviews.csv,canada,on,toronto,42250,visualisations,reviews.csv
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/data/calendar.csv.gz,canada,on,toronto,42556,data,calendar.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/data/listings.csv.gz,canada,on,toronto,42556,data,listings.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/data/reviews.csv.gz,canada,on,toronto,42556,data,reviews.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/visualisations/listings.csv,canada,on,toronto,42556,visualisations,listings.csv
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/visualisations/neighbourhoods.csv,canada,on,toronto,42556,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/visualisations/neighbourhoods.geojson,canada,on,toronto,42556,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/on/toronto/2016-07-05/visualisations/reviews.csv,canada,on,toronto,42556,visualisations,reviews.csv
