2016-09-26,2016,09,26,SFO,	0.5115947,$198.3893
2016-03-10,2016,03,10,SFO,	0.4292218,$195.49426
2016-03-21,2016,03,21,SFO,	0.42822593,$195.51381
2016-04-11,2016,04,11,SFO,	0.40660122,$197.79333
2016-04-22,2016,04,22,SFO,	0.40091053,$204.32297
2016-05-01,2016,05,01,SFO,	0.43277848,$197.83873
2016-05-12,2016,05,12,SFO,	0.4300754,$198.38766
2016-05-23,2016,05,23,SFO,	0.42580736,$200.46754
2016-06-02,2016,06,02,SFO,	0.6997387,$197.32143
2016-06-13,2016,06,13,SFO,	0.70091015,$203.89575
2016-06-24,2016,06,24,SFO,	0.6745066,$217.60216
2016-07-03,2016,07,03,SFO,	0.69299275,$206.15544
2016-07-14,2016,07,14,SFO,	0.6961855,$203.20769
2016-07-25,2016,07,25,SFO,	0.65199125,$202.4983
2016-08-04,2016,08,04,SFO,	0.6711477,$209.42973
2016-08-15,2016,08,15,SFO,	0.6014115,$202.49474
2016-08-26,2016,08,26,SFO,	0.5672156,$209.21025
2016-09-05,2016,09,05,SFO,	0.5378928,$203.34636
2016-09-16,2016,09,16,SFO,	0.55419254,$206.64626
2016-09-27,2016,09,27,SFO,	0.50857,$198.38417
2016-12-30,2016,12,30,SFO,	0.6220321,$209.38597
2016-03-11,2016,03,11,SFO,	0.42822593,$201.90445
2016-03-22,2016,03,22,SFO,	0.4269455,$195.26167
2016-04-01,2016,04,01,SFO,	0.42139706,$204.53258
2016-04-12,2016,04,12,SFO,	0.40688577,$197.76805
2016-04-23,2016,04,23,SFO,	0.4000569,$204.15367
2016-05-02,2016,05,02,SFO,	0.43220943,$197.59584
2016-05-13,2016,05,13,SFO,	0.4300754,$204.41039
2016-05-24,2016,05,24,SFO,	0.42552283,$198.65404
2016-06-03,2016,06,03,SFO,	0.69532305,$209.79355
2016-06-14,2016,06,14,SFO,	0.706317,$205.53421
2016-06-25,2016,06,25,SFO,	0.6729747,$217.73932
2016-07-04,2016,07,04,SFO,	0.668123,$207.33746
2016-07-15,2016,07,15,SFO,	0.6822383,$209.51772
2016-07-26,2016,07,26,SFO,	0.650899,$202.65631
2016-08-05,2016,08,05,SFO,	0.6944211,$217.75887
2016-08-16,2016,08,16,SFO,	0.599143,$202.7051
2016-08-27,2016,08,27,SFO,	0.5576374,$208.51756
2016-09-06,2016,09,06,SFO,	0.53772473,$201.11978
2016-09-17,2016,09,17,SFO,	0.5612502,$205.47453
2016-09-28,2016,09,28,SFO,	0.50814986,$198.34644
2016-11-30,2016,11,30,SFO,	0.5854545,$197.51497
2016-12-20,2016,12,20,SFO,	0.575615,$200.4138
2016-12-31,2016,12,31,SFO,	0.62213904,$211.41948
2017-01-30,2017,01,30,SFO,	0.5851337,$199.3684
2017-02-20,2017,02,20,SFO,	0.5735829,$200.18034
2016-03-01,2016,03,01,SFO,	0.44529805,$197.05617
