2016-12-16,2016,12,16,NAS,	0.32590786,$225.21095
2016-12-27,2016,12,27,NAS,	0.35581324,$203.22359
2017-01-04,2017,01,04,NAS,	0.3112603,$190.94373
2017-01-15,2017,01,15,NAS,	0.31065,$203.08543
2017-01-26,2017,01,26,NAS,	0.3027159,$196.36105
2017-02-05,2017,02,05,NAS,	0.29569727,$199.69368
2017-02-16,2017,02,16,NAS,	0.2999695,$198.41412
2017-02-27,2017,02,27,NAS,	0.29447666,$192.70674
2016-03-08,2016,03,08,NAS,	0.23744076,$195.46489
2016-03-19,2016,03,19,NAS,	0.2350711,$219.16542
2016-04-09,2016,04,09,NAS,	0.28767774,$226.23952
2016-10-04,2016,10,04,NAS,	0.38632897,$187.57036
2016-10-15,2016,10,15,NAS,	0.7577052,$180.88791
2016-10-26,2016,10,26,NAS,	0.35581324,$184.60114
2016-11-05,2016,11,05,NAS,	0.4159292,$214.55173
2016-11-16,2016,11,16,NAS,	0.2798291,$183.01483
2016-11-27,2016,11,27,NAS,	0.27586207,$205.53435
2016-12-06,2016,12,06,NAS,	0.33018005,$186.21275
2016-12-17,2016,12,17,NAS,	0.32804394,$226.20618
2016-12-28,2016,12,28,NAS,	0.36496797,$203.91783
2017-01-05,2017,01,05,NAS,	0.3112603,$197.6234
2017-01-16,2017,01,16,NAS,	0.30332622,$195.78712
2017-01-27,2017,01,27,NAS,	0.30088496,$225.21431
2017-02-06,2017,02,06,NAS,	0.29722306,$192.76726
2017-02-17,2017,02,17,NAS,	0.30210558,$229.78444
2017-02-28,2017,02,28,NAS,	0.29386634,$192.48271
2016-03-09,2016,03,09,NAS,	0.2421801,$197.88493
2016-10-05,2016,10,05,NAS,	0.4095209,$186.9478
2016-10-16,2016,10,16,NAS,	0.55447054,$197.2096
2016-10-27,2016,10,27,NAS,	0.4202014,$191.4342
2016-11-06,2016,11,06,NAS,	0.3341471,$196.55408
2016-11-17,2016,11,17,NAS,	0.3011901,$188.26724
2016-11-28,2016,11,28,NAS,	0.2541959,$184.08347
2016-12-07,2016,12,07,NAS,	0.33201098,$185.96346
2016-12-18,2016,12,18,NAS,	0.32712847,$200.35828
2016-12-29,2016,12,29,NAS,	0.41196215,$219.00311
2017-01-06,2017,01,06,NAS,	0.30851388,$226.9947
2017-01-17,2017,01,17,NAS,	0.3042417,$195.02983
2017-01-28,2017,01,28,NAS,	0.3005798,$226.68848
2017-02-07,2017,02,07,NAS,	0.29752824,$192.38054
2017-02-18,2017,02,18,NAS,	0.30393654,$230.50592
2016-10-06,2016,10,06,NAS,	0.5209033,$193.41911
2016-10-17,2016,10,17,NAS,	0.4250839,$188.55626
2016-10-28,2016,10,28,NAS,	0.46200794,$218.2042
2016-11-07,2016,11,07,NAS,	0.29600245,$184.13048
2016-11-18,2016,11,18,NAS,	0.32163563,$216.4296
2016-11-29,2016,11,29,NAS,	0.25297529,$179.71283
2016-12-08,2016,12,08,NAS,	0.33750382,$196.04007
2016-12-19,2016,12,19,NAS,	0.32926458,$190.3453
2017-01-07,2017,01,07,NAS,	0.30790356,$227.66402
2017-01-18,2017,01,18,NAS,	0.30454683,$190.54059
2017-01-29,2017,01,29,NAS,	0.2984437,$198.8382
2017-02-08,2017,02,08,NAS,	0.29783338,$192.5554
2017-02-19,2017,02,19,NAS,	0.2999695,$203.73016
2016-10-07,2016,10,07,NAS,	0.66707355,$202.04399
2016-10-18,2016,10,18,NAS,	0.41928592,$189.77982
2016-10-29,2016,10,29,NAS,	0.45620996,$220.3266
2016-11-08,2016,11,08,NAS,	0.29081476,$183.04648
2016-11-19,2016,11,19,NAS,	0.32651815,$216.39737
2016-12-09,2016,12,09,NAS,	0.34147087,$226.03105
2017-01-08,2017,01,08,NAS,	0.30820873,$199.82532
2017-01-19,2017,01,19,NAS,	0.3042417,$196.42369
2017-02-09,2017,02,09,NAS,	0.29813853,$199.02522
2016-10-08,2016,10,08,NAS,	0.6859933,$196.64334
2016-10-19,2016,10,19,NAS,	0.43484893,$187.63931
2016-11-09,2016,11,09,NAS,	0.31248093,$183.96272
2017-01-09,2017,01,09,NAS,	0.30576748,$190.2488
2016-10-09,2016,10,09,NAS,	0.5321941,$193.17091
