2017-01-04,2017,01,04,LAX,	0.34460407,$149.72383
2017-01-15,2017,01,15,LAX,	0.3393359,$148.90382
2017-01-26,2017,01,26,LAX,	0.33716476,$148.71199
2017-02-05,2017,02,05,LAX,	0.38662195,$148.5157
2017-02-16,2017,02,16,LAX,	0.38668582,$148.54288
2017-02-27,2017,02,27,LAX,	0.38588762,$148.25569
2016-03-08,2016,03,08,LAX,	0.25347728,$141.39375
2016-03-19,2016,03,19,LAX,	0.2444801,$147.53775
2016-04-09,2016,04,09,LAX,	0.26816458,$149.68893
2016-10-04,2016,10,04,LAX,	0.3210596,$145.59892
2016-10-15,2016,10,15,LAX,	0.306972,$151.5461
2016-10-26,2016,10,26,LAX,	0.28840947,$145.21564
2016-11-05,2016,11,05,LAX,	0.36064306,$152.13246
2016-11-16,2016,11,16,LAX,	0.35525662,$146.57997
2016-11-27,2016,11,27,LAX,	0.3452848,$147.95709
2016-12-06,2016,12,06,LAX,	0.33567205,$146.71896
2016-12-17,2016,12,17,LAX,	0.33288217,$154.26234
2016-12-28,2016,12,28,LAX,	0.33951163,$148.6965
2017-01-05,2017,01,05,LAX,	0.3436143,$149.63464
2017-01-16,2017,01,16,LAX,	0.3392082,$148.82446
2017-01-27,2017,01,27,LAX,	0.33681354,$154.54543
2017-02-06,2017,02,06,LAX,	0.38700512,$148.28564
2017-02-17,2017,02,17,LAX,	0.38694125,$154.37738
2017-02-28,2017,02,28,LAX,	0.38531289,$148.26843
2016-03-09,2016,03,09,LAX,	0.25265053,$141.47173
2016-10-05,2016,10,05,LAX,	0.3209491,$145.61514
2016-10-16,2016,10,16,LAX,	0.30183417,$145.86069
2016-10-27,2016,10,27,LAX,	0.28846473,$145.3667
2016-11-06,2016,11,06,LAX,	0.355008,$146.74973
2016-11-17,2016,11,17,LAX,	0.35868183,$146.9901
2016-11-28,2016,11,28,LAX,	0.342633,$147.00484
2016-12-07,2016,12,07,LAX,	0.33545107,$146.67616
2016-12-18,2016,12,18,LAX,	0.33263355,$148.23402
2016-12-29,2016,12,29,LAX,	0.33998123,$149.23114
2017-01-06,2017,01,06,LAX,	0.34230524,$155.23293
2017-01-17,2017,01,17,LAX,	0.3393359,$148.8134
2017-01-28,2017,01,28,LAX,	0.33614305,$154.62169
2017-02-07,2017,02,07,LAX,	0.3871967,$148.22888
2017-02-18,2017,02,18,LAX,	0.38694125,$154.33774
2016-10-06,2016,10,06,LAX,	0.3218883,$145.39288
2016-10-17,2016,10,17,LAX,	0.2990995,$145.72723
2016-10-28,2016,10,28,LAX,	0.2888238,$151.30133
2016-11-07,2016,11,07,LAX,	0.3524667,$146.72784
2016-11-18,2016,11,18,LAX,	0.35915142,$152.87238
2016-11-29,2016,11,29,LAX,	0.3420253,$146.78648
2016-12-08,2016,12,08,LAX,	0.3355892,$146.7686
2016-12-19,2016,12,19,LAX,	0.33354512,$148.14905
2017-01-07,2017,01,07,LAX,	0.34176245,$155.31694
2017-01-18,2017,01,18,LAX,	0.33901662,$148.80602
2017-01-29,2017,01,29,LAX,	0.35823753,$148.94438
2017-02-08,2017,02,08,LAX,	0.38706896,$148.28708
2017-02-19,2017,02,19,LAX,	0.38649425,$148.40327
2016-10-07,2016,10,07,LAX,	0.32064527,$151.51439
2016-10-18,2016,10,18,LAX,	0.29827082,$145.69576
2016-10-29,2016,10,29,LAX,	0.29039833,$151.46872
2016-11-08,2016,11,08,LAX,	0.35091984,$146.84462
2016-11-19,2016,11,19,LAX,	0.35928956,$152.8782
2016-12-09,2016,12,09,LAX,	0.33442903,$153.49446
2017-01-08,2017,01,08,LAX,	0.3408046,$149.10403
2017-01-19,2017,01,19,LAX,	0.3386973,$148.92459
2017-02-09,2017,02,09,LAX,	0.38697317,$148.39755
2016-10-08,2016,10,08,LAX,	0.3205624,$151.6358
2016-10-19,2016,10,19,LAX,	0.298989,$145.52542
2016-11-09,2016,11,09,LAX,	0.34967682,$146.8332
2017-01-09,2017,01,09,LAX,	0.3411558,$148.78885
2016-10-09,2016,10,09,LAX,	0.31465113,$146.00339
